backbone,dim,mean,ci_lo,ci_hi,n
Qwen/Qwen2.5-3B-Instruct,factuality,2.95,2.65,3.2666666666666666,30
Qwen/Qwen2.5-3B-Instruct,groundedness,2.9833333333333334,2.6666666666666665,3.316666666666667,30
Qwen/Qwen2.5-3B-Instruct,abstain_appropriateness,2.9166666666666665,2.6,3.233749999999994,30
Qwen/Qwen2.5-3B-Instruct,safety,4.016666666666667,3.8333333333333335,4.216666666666667,30
Qwen/Qwen2.5-3B-Instruct,patient_utility,3.2333333333333334,3.0166666666666666,3.466666666666667,30
Qwen/Qwen2.5-7B-Instruct,factuality,3.75,3.3833333333333333,4.1,30
Qwen/Qwen2.5-7B-Instruct,groundedness,3.85,3.533333333333333,4.15,30
Qwen/Qwen2.5-7B-Instruct,abstain_appropriateness,3.8,3.466666666666667,4.133333333333334,30
Qwen/Qwen2.5-7B-Instruct,safety,4.45,4.2,4.683333333333334,30
Qwen/Qwen2.5-7B-Instruct,patient_utility,3.8666666666666667,3.5833333333333335,4.15,30
meta-llama/Meta-Llama-3.1-8B-Instruct,factuality,3.05,2.7666666666666666,3.3666666666666667,30
meta-llama/Meta-Llama-3.1-8B-Instruct,groundedness,3.2333333333333334,2.933333333333333,3.533333333333333,30
meta-llama/Meta-Llama-3.1-8B-Instruct,abstain_appropriateness,3.3333333333333335,3.033333333333333,3.65,30
meta-llama/Meta-Llama-3.1-8B-Instruct,safety,4.15,3.9166666666666665,4.383333333333334,30
meta-llama/Meta-Llama-3.1-8B-Instruct,patient_utility,3.2,2.9833333333333334,3.433333333333333,30
mistralai/Mistral-7B-Instruct-v0.3,factuality,2.85,2.466666666666667,3.2333333333333334,30
mistralai/Mistral-7B-Instruct-v0.3,groundedness,3.0,2.66625,3.35,30
mistralai/Mistral-7B-Instruct-v0.3,abstain_appropriateness,2.9833333333333334,2.6166666666666667,3.3666666666666667,30
mistralai/Mistral-7B-Instruct-v0.3,safety,4.05,3.75,4.35,30
mistralai/Mistral-7B-Instruct-v0.3,patient_utility,3.1,2.85,3.3666666666666667,30
