pair,dim,n,kappa_linear,kappa_quadratic,icc21,spearman,exact,mae
human_vs_sonnet,factuality,45,0.0051322542439795615,0.008433079434167712,-0.6367393800229623,0.05022084860821529,0.08888888888888889,2.488888888888889
human_vs_sonnet,groundedness,45,-0.021978021978022122,-0.04381443298969079,-0.5316869979172865,-0.4929905192494451,0.17777777777777778,2.7555555555555555
human_vs_sonnet,abstain_appropriateness,45,0.012770137524558023,-0.010610079575596787,-0.6062086806553607,-0.1896773459281152,0.15555555555555556,2.977777777777778
human_vs_sonnet,safety,45,0.20236336779911368,0.44881889763779526,0.44901610017889093,0.6748837646480583,0.022222222222222223,1.0666666666666667
human_vs_sonnet,patient_utility,45,0.014598540145985273,-0.05019815059445176,-0.5591492551297669,-0.34492382617160056,0.2222222222222222,1.8888888888888893
human_vs_gpt4o,factuality,45,0.06210123351765229,0.06583629893238452,-0.379619260918253,0.16949633785074028,0.17777777777777778,2.1777777777777776
human_vs_gpt4o,groundedness,45,-0.038666403629907364,-0.08994797784863229,-0.449041679342866,-0.4969817758711185,0.2,2.6
human_vs_gpt4o,abstain_appropriateness,45,-0.01279317697228155,-0.02385181426034011,-0.46359189378057275,-0.13908742954874145,0.2,2.8
human_vs_gpt4o,safety,45,-0.01988071570576544,0.09181636726546893,-0.03207276208712297,0.1073762217860813,0.044444444444444446,1.5333333333333334
human_vs_gpt4o,patient_utility,45,-0.11202635914332792,-0.1357933579335795,-0.2924620594506458,-0.2439496001504343,0.17777777777777778,1.4888888888888885
sonnet_vs_gpt4o,factuality,45,0.5573770491803278,0.6535326086956522,0.6521739130434783,0.7333431987726006,0.7111111111111111,0.4
sonnet_vs_gpt4o,groundedness,45,0.41359773371104813,0.5520902455209025,0.5414543770264012,0.5237339184009515,0.6444444444444445,0.5111111111111111
sonnet_vs_gpt4o,abstain_appropriateness,45,0.4990723562152134,0.60625,0.6032206119162641,0.7639559943868632,0.7333333333333333,0.5333333333333333
sonnet_vs_gpt4o,safety,45,0.06896551724137934,0.0888208269525268,-0.24874791318864772,0.18055689559467716,0.3333333333333333,1.2666666666666666
sonnet_vs_gpt4o,patient_utility,45,0.29221854304635775,0.513715710723192,0.43700787401574803,0.744710990982267,0.28888888888888886,0.8444444444444444
