pair,dim,n,kappa_linear,kappa_quadratic,icc21,spearman,exact,mae
human_vs_sonnet,factuality,45,-0.006628003314001596,0.08465608465608476,-0.290606985418786,0.11878464248031068,0.06666666666666667,1.8
human_vs_sonnet,groundedness,45,-0.033898305084745894,-0.05784955028618155,-0.5231788079470199,-0.4806169378797633,0.17777777777777778,2.7111111111111112
human_vs_sonnet,abstain_appropriateness,45,-0.020680453635757212,-0.027653880463871516,-0.5835793617320398,-0.21766256106818865,0.13333333333333333,3.022222222222222
human_vs_sonnet,safety,45,0.443069306930693,0.5766129032258065,0.5652787579393084,0.7116717004345342,0.6444444444444445,0.4444444444444444
human_vs_sonnet,patient_utility,45,-0.13032398980706206,-0.06246514221974331,-0.32700071241985273,-0.38710276945595584,0.1111111111111111,1.5333333333333334
human_vs_gpt4o,factuality,45,0.03267411865864145,0.15135135135135136,-0.043189368770763896,0.21555389316362675,0.13333333333333333,1.6666666666666667
human_vs_gpt4o,groundedness,45,-0.09977782266208846,-0.1391424143275355,-0.4857580398162329,-0.5107937242715873,0.15555555555555556,2.688888888888889
human_vs_gpt4o,abstain_appropriateness,45,-0.022972002871500585,-0.030244149700092926,-0.43751701606316373,-0.14299264252144292,0.2222222222222222,2.8
human_vs_gpt4o,safety,45,0.02763018065887357,0.07862407862407861,-0.2857604133031965,0.23360537279024685,0.28888888888888886,1.6222222222222222
human_vs_gpt4o,patient_utility,45,-0.1827284105131417,-0.2064645452267604,-0.2081088016422891,-0.28437985191245213,0.022222222222222223,1.4
sonnet_vs_gpt4o,factuality,45,0.5573770491803278,0.6535326086956522,0.6521739130434783,0.7333431987726006,0.7111111111111111,0.4
sonnet_vs_gpt4o,groundedness,45,0.41359773371104813,0.5520902455209025,0.5414543770264012,0.5237339184009515,0.6444444444444445,0.5111111111111111
sonnet_vs_gpt4o,abstain_appropriateness,45,0.4990723562152134,0.60625,0.6032206119162641,0.7639559943868632,0.7333333333333333,0.5333333333333333
sonnet_vs_gpt4o,safety,45,0.06896551724137934,0.0888208269525268,-0.24874791318864772,0.18055689559467716,0.3333333333333333,1.2666666666666666
sonnet_vs_gpt4o,patient_utility,45,0.29221854304635775,0.513715710723192,0.43700787401574803,0.744710990982267,0.28888888888888886,0.8444444444444444
