variant,pair,dim,n,kappa_linear,kappa_quadratic,icc21,spearman,exact,mae
V1,human_vs_sonnet,factuality,15,0.16666666666666674,0.22330097087378642,0.15971515768056974,0.289533012071793,0.2,1.5333333333333334
V1,human_vs_sonnet,groundedness,15,0.368421052631579,0.576271186440678,0.7323135755258126,0.34296226851232137,0.5333333333333333,0.5333333333333333
V1,human_vs_sonnet,abstain_appropriateness,15,0.2727272727272727,0.34615384615384615,0.30615507593924846,0.3829930462415574,0.4,1.4666666666666666
V1,human_vs_sonnet,safety,15,0.11764705882352933,0.24175824175824168,0.3723196881091618,0.20801257358446093,0.06666666666666667,1.1333333333333333
V1,human_vs_sonnet,patient_utility,15,0.4043321299638989,0.6271510516252391,0.6176470588235294,0.7245953021938721,0.3333333333333333,0.7333333333333333
V1,human_vs_gpt4o,factuality,15,0.3065693430656934,0.3733333333333333,0.3798303487276155,0.4187092789961314,0.3333333333333333,1.2666666666666666
V1,human_vs_gpt4o,groundedness,15,0.4,0.6387832699619772,0.6172661870503597,0.7211102550927978,0.3333333333333333,0.8666666666666667
V1,human_vs_gpt4o,abstain_appropriateness,15,0.3674698795180724,0.43262411347517726,0.4460093896713615,0.44411739409784406,0.5333333333333333,1.2666666666666666
V1,human_vs_gpt4o,safety,15,0.06698564593301437,0.14285714285714302,-0.39253996447602146,0.5508598310337698,0.06666666666666667,2.533333333333333
V1,human_vs_gpt4o,patient_utility,15,0.11347517730496448,0.22649140546006075,-0.021459227467811218,0.5508598310337698,0.0,1.6666666666666667
V1,sonnet_vs_gpt4o,factuality,15,0.4140624999999999,0.6111111111111112,0.6194174757281554,0.6,0.4666666666666667,0.6666666666666666
V1,sonnet_vs_gpt4o,groundedness,15,0.22680412371134018,0.4444444444444444,0.41860465116279066,0.29095718698132317,0.26666666666666666,1.0
V1,sonnet_vs_gpt4o,abstain_appropriateness,15,0.39678284182305634,0.541871921182266,0.5474452554744524,0.6738748591886006,0.4666666666666667,1.0
V1,sonnet_vs_gpt4o,safety,15,0.0694789081885856,0.0836012861736335,-0.34797297297297297,0.16428675993560618,0.13333333333333333,1.6666666666666667
V1,sonnet_vs_gpt4o,patient_utility,15,0.21641791044776126,0.46640316205533594,0.368421052631579,0.7915884515404937,0.2,0.9333333333333333
V2,human_vs_sonnet,factuality,15,0.0,0.0,-1.0,,0.0,2.0
V2,human_vs_sonnet,groundedness,15,0.0,0.0,-1.0,,0.0,4.0
V2,human_vs_sonnet,abstain_appropriateness,15,0.0,0.0,-1.0,,0.0,4.0
V2,human_vs_sonnet,safety,15,,,,,1.0,0.0
V2,human_vs_sonnet,patient_utility,15,0.0,0.0,-1.0,,0.0,2.0
V2,human_vs_gpt4o,factuality,15,0.0,0.0,-0.9655172413793105,,0.0,1.9333333333333333
V2,human_vs_gpt4o,groundedness,15,0.0,0.0,-0.9914529914529915,,0.0,3.933333333333333
V2,human_vs_gpt4o,abstain_appropriateness,15,0.0,0.0,-1.0,,0.0,4.0
V2,human_vs_gpt4o,safety,15,0.0,0.0,-0.38323353293413165,,0.4,1.1333333333333333
V2,human_vs_gpt4o,patient_utility,15,0.0,0.0,-0.8375,,0.0,1.1333333333333333
V2,sonnet_vs_gpt4o,factuality,15,0.0,0.0,-2.081668171172169e-16,,0.9333333333333333,0.06666666666666667
V2,sonnet_vs_gpt4o,groundedness,15,0.0,0.0,-2.081668171172169e-16,,0.9333333333333333,0.06666666666666667
V2,sonnet_vs_gpt4o,abstain_appropriateness,15,,,,,1.0,0.0
V2,sonnet_vs_gpt4o,safety,15,0.0,0.0,-0.38323353293413165,,0.4,1.1333333333333333
V2,sonnet_vs_gpt4o,patient_utility,15,0.0,0.0,-0.75,,0.13333333333333333,0.8666666666666667
V-final,human_vs_sonnet,factuality,15,0.0,0.0,-0.698876404494382,,0.0,1.8666666666666667
V-final,human_vs_sonnet,groundedness,15,-0.033163265306122236,-0.07070020394289611,-0.9797979797979799,-0.9974457174120671,0.0,3.6
V-final,human_vs_sonnet,abstain_appropriateness,15,0.0024630541871920597,-0.014166130070830674,-0.9053791315618925,-0.6273643326097713,0.0,3.6
V-final,human_vs_sonnet,safety,15,0.0,0.0,-0.029411764705882422,,0.8666666666666667,0.2
V-final,human_vs_sonnet,patient_utility,15,0.0,0.0,-0.698876404494382,,0.0,1.8666666666666667
V-final,human_vs_gpt4o,factuality,15,0.0,0.0,-0.26190476190476203,,0.06666666666666667,1.8
V-final,human_vs_gpt4o,groundedness,15,-0.04247104247104261,-0.07883817427385909,-0.8173076923076924,-0.6709218635868128,0.13333333333333333,3.2666666666666666
V-final,human_vs_gpt4o,abstain_appropriateness,15,-0.038461538461538325,-0.05691056910569103,-0.7075471698113208,-0.397527122213151,0.13333333333333333,3.1333333333333333
V-final,human_vs_gpt4o,safety,15,0.0,0.0,-0.39999999999999986,,0.4,1.2
V-final,human_vs_gpt4o,patient_utility,15,0.0,0.0,-0.24050632911392408,,0.06666666666666667,1.4
V-final,sonnet_vs_gpt4o,factuality,15,0.47236180904522607,0.5380875202593193,0.5437392795883362,0.675027340766292,0.7333333333333333,0.4666666666666667
V-final,sonnet_vs_gpt4o,groundedness,15,0.47236180904522607,0.5380875202593193,0.5437392795883362,0.675027340766292,0.7333333333333333,0.4666666666666667
V-final,sonnet_vs_gpt4o,abstain_appropriateness,15,0.4,0.4798890429958391,0.4760479041916168,0.675027340766292,0.7333333333333333,0.6
V-final,sonnet_vs_gpt4o,safety,15,0.13793103448275856,0.14201183431952658,-0.06842105263157902,0.3194382824999699,0.4666666666666667,1.0
V-final,sonnet_vs_gpt4o,patient_utility,15,0.3096234309623431,0.43243243243243246,0.39256198347107446,0.5808265090105186,0.5333333333333333,0.7333333333333333
