variant,pair,dim,n,kappa_linear,kappa_quadratic,icc21,spearman,exact,mae
V1,human_vs_sonnet,factuality,15,0.11764705882352944,0.15000000000000002,-0.030303030303030293,0.24736755426473417,0.2,1.7333333333333334
V1,human_vs_sonnet,groundedness,15,0.293193717277487,0.5299145299145298,0.5744,0.21725017863742735,0.4666666666666667,0.7333333333333333
V1,human_vs_sonnet,abstain_appropriateness,15,0.37125748502994005,0.42307692307692313,0.3170731707317074,0.4869165132669447,0.4666666666666667,1.3333333333333333
V1,human_vs_sonnet,safety,15,0.11764705882352933,0.24175824175824168,0.3723196881091618,0.20801257358446093,0.06666666666666667,1.1333333333333333
V1,human_vs_sonnet,patient_utility,15,0.5414847161572052,0.6966292134831461,0.7251210328133405,0.651948325053024,0.6,0.5555555555555556
V1,human_vs_gpt4o,factuality,15,0.42028985507246375,0.4086021505376345,0.3623188405797102,0.5043416154912056,0.5333333333333333,1.0666666666666667
V1,human_vs_gpt4o,groundedness,15,0.5535714285714286,0.7463768115942029,0.7457846952010376,0.7751187666429077,0.4666666666666667,0.6666666666666666
V1,human_vs_gpt4o,abstain_appropriateness,15,0.36363636363636365,0.443069306930693,0.44723618090452283,0.46020168508194065,0.4666666666666667,1.2666666666666666
V1,human_vs_gpt4o,safety,15,0.06698564593301437,0.14285714285714302,-0.39253996447602146,0.5508598310337698,0.06666666666666667,2.533333333333333
V1,human_vs_gpt4o,patient_utility,15,0.32525951557093424,0.4521739130434783,0.47407236690481686,0.7002362482228078,0.3333333333333333,0.8666666666666666
V1,sonnet_vs_gpt4o,factuality,15,0.4140624999999999,0.6111111111111112,0.6194174757281554,0.6,0.4666666666666667,0.6666666666666666
V1,sonnet_vs_gpt4o,groundedness,15,0.22680412371134018,0.4444444444444444,0.41860465116279066,0.29095718698132317,0.26666666666666666,1.0
V1,sonnet_vs_gpt4o,abstain_appropriateness,15,0.39678284182305634,0.541871921182266,0.5474452554744524,0.6738748591886006,0.4666666666666667,1.0
V1,sonnet_vs_gpt4o,safety,15,0.0694789081885856,0.0836012861736335,-0.34797297297297297,0.16428675993560618,0.13333333333333333,1.6666666666666667
V1,sonnet_vs_gpt4o,patient_utility,15,0.21641791044776126,0.46640316205533594,0.368421052631579,0.7915884515404937,0.2,0.9333333333333333
V2,human_vs_sonnet,factuality,15,0.0,0.0,-1.0,,0.0,3.0
V2,human_vs_sonnet,groundedness,15,0.0,0.0,-1.0,,0.0,4.0
V2,human_vs_sonnet,abstain_appropriateness,15,0.0,0.0,-1.0,,0.0,4.0
V2,human_vs_sonnet,safety,15,0.0,0.0,-1.0,,0.0,1.0
V2,human_vs_sonnet,patient_utility,15,0.0,0.0,-1.0,,0.0,2.666666666666666
V2,human_vs_gpt4o,factuality,15,0.0,0.0,-0.984732824427481,,0.0,2.933333333333333
V2,human_vs_gpt4o,groundedness,15,0.0,0.0,-0.9914529914529915,,0.0,3.933333333333333
V2,human_vs_gpt4o,abstain_appropriateness,15,0.0,0.0,-1.0,,0.0,4.0
V2,human_vs_gpt4o,safety,15,0.0,0.0,0.02487562189054712,,0.06666666666666667,0.9333333333333333
V2,human_vs_gpt4o,patient_utility,15,0.0,0.0,-0.9288321167883211,,0.0,1.8000000000000003
V2,sonnet_vs_gpt4o,factuality,15,0.0,0.0,-2.081668171172169e-16,,0.9333333333333333,0.06666666666666667
V2,sonnet_vs_gpt4o,groundedness,15,0.0,0.0,-2.081668171172169e-16,,0.9333333333333333,0.06666666666666667
V2,sonnet_vs_gpt4o,abstain_appropriateness,15,,,,,1.0,0.0
