y_true_variant,bin_lo,bin_hi,n,frac,mean_p_pred,mean_y_true,abs_gap
strict,0.0,0.1,0.0,0.0,,,
strict,0.1,0.2,0.0,0.0,,,
strict,0.2,0.30000000000000004,19.0,0.38,0.2621769588603995,0.15789473684210525,0.10428222201829423
strict,0.30000000000000004,0.4,11.0,0.22,0.3366281285936225,0.09090909090909091,0.2457190376845316
strict,0.4,0.5,9.0,0.18,0.43607089276811084,0.4444444444444444,0.00837355167633358
strict,0.5,0.6000000000000001,7.0,0.14,0.5502878991724715,0.14285714285714285,0.4074307563153286
strict,0.6000000000000001,0.7000000000000001,1.0,0.02,0.6406957637152985,0.0,0.6406957637152985
strict,0.7000000000000001,0.8,2.0,0.04,0.7390490792038663,0.0,0.7390490792038663
strict,0.8,0.9,1.0,0.02,0.8848448766153877,0.0,0.8848448766153877
strict,0.9,1.0,0.0,0.0,,,
any,0.0,0.1,0.0,0.0,,,
any,0.1,0.2,0.0,0.0,,,
any,0.2,0.30000000000000004,19.0,0.38,0.2621769588603995,0.3157894736842105,0.05361251482381102
any,0.30000000000000004,0.4,11.0,0.22,0.3366281285936225,0.45454545454545453,0.11791732595183202
any,0.4,0.5,9.0,0.18,0.43607089276811084,0.6666666666666666,0.2305957738985558
any,0.5,0.6000000000000001,7.0,0.14,0.5502878991724715,0.5714285714285714,0.021140672256099946
any,0.6000000000000001,0.7000000000000001,1.0,0.02,0.6406957637152985,0.0,0.6406957637152985
any,0.7000000000000001,0.8,2.0,0.04,0.7390490792038663,0.0,0.7390490792038663
any,0.8,0.9,1.0,0.02,0.8848448766153877,0.0,0.8848448766153877
any,0.9,1.0,0.0,0.0,,,
gold_nct,0.0,0.1,0.0,0.0,,,
gold_nct,0.1,0.2,0.0,0.0,,,
gold_nct,0.2,0.30000000000000004,19.0,0.38,0.2621769588603995,0.0,0.2621769588603995
gold_nct,0.30000000000000004,0.4,11.0,0.22,0.3366281285936225,0.0,0.3366281285936225
gold_nct,0.4,0.5,9.0,0.18,0.43607089276811084,0.0,0.43607089276811084
gold_nct,0.5,0.6000000000000001,7.0,0.14,0.5502878991724715,0.0,0.5502878991724715
gold_nct,0.6000000000000001,0.7000000000000001,1.0,0.02,0.6406957637152985,0.0,0.6406957637152985
gold_nct,0.7000000000000001,0.8,2.0,0.04,0.7390490792038663,0.0,0.7390490792038663
gold_nct,0.8,0.9,1.0,0.02,0.8848448766153877,0.0,0.8848448766153877
gold_nct,0.9,1.0,0.0,0.0,,,
