y_variant,model,bin_lo,bin_hi,n,frac,mean_p_pred,mean_y_true,abs_gap
any,tau_only_test,0.0,0.1,0.0,0.0,,,
any,tau_only_test,0.1,0.2,0.0,0.0,,,
any,tau_only_test,0.2,0.30000000000000004,19.0,0.38,0.2621769588603995,0.3157894736842105,0.05361251482381102
any,tau_only_test,0.30000000000000004,0.4,11.0,0.22,0.3366281285936225,0.45454545454545453,0.11791732595183202
any,tau_only_test,0.4,0.5,9.0,0.18,0.43607089276811084,0.6666666666666666,0.2305957738985558
any,tau_only_test,0.5,0.6000000000000001,7.0,0.14,0.5502878991724715,0.5714285714285714,0.021140672256099946
any,tau_only_test,0.6000000000000001,0.7000000000000001,1.0,0.02,0.6406957637152985,0.0,0.6406957637152985
any,tau_only_test,0.7000000000000001,0.8,2.0,0.04,0.7390490792038663,0.0,0.7390490792038663
any,tau_only_test,0.8,0.9,1.0,0.02,0.8848448766153877,0.0,0.8848448766153877
any,tau_only_test,0.9,1.0,0.0,0.0,,,
strict,tau_only_test,0.0,0.1,0.0,0.0,,,
strict,tau_only_test,0.1,0.2,0.0,0.0,,,
strict,tau_only_test,0.2,0.30000000000000004,19.0,0.38,0.2621769588603995,0.15789473684210525,0.10428222201829423
strict,tau_only_test,0.30000000000000004,0.4,11.0,0.22,0.3366281285936225,0.09090909090909091,0.2457190376845316
strict,tau_only_test,0.4,0.5,9.0,0.18,0.43607089276811084,0.4444444444444444,0.00837355167633358
strict,tau_only_test,0.5,0.6000000000000001,7.0,0.14,0.5502878991724715,0.14285714285714285,0.4074307563153286
strict,tau_only_test,0.6000000000000001,0.7000000000000001,1.0,0.02,0.6406957637152985,0.0,0.6406957637152985
strict,tau_only_test,0.7000000000000001,0.8,2.0,0.04,0.7390490792038663,0.0,0.7390490792038663
strict,tau_only_test,0.8,0.9,1.0,0.02,0.8848448766153877,0.0,0.8848448766153877
strict,tau_only_test,0.9,1.0,0.0,0.0,,,
