variant,backbone,n_accepted_cases,n_base,delta_n,leak_rate,leak_base,delta_leak,commit_rate,commit_base,delta_commit,abstain_rate,abstain_base,delta_abstain
V-final-no-rho,Qwen/Qwen2.5-3B-Instruct,42,32,10,0.0,0.0,0.0,0.5238095238095238,0.53125,-0.007440476190476164,0.0,0.0,0.0
V-final-no-rho,Qwen/Qwen2.5-7B-Instruct,42,32,10,0.0,0.0,0.0,0.5476190476190477,0.59375,-0.04613095238095233,0.0,0.0,0.0
V-final-no-rho,meta-llama/Meta-Llama-3.1-8B-Instruct,42,32,10,0.0,0.0,0.0,0.23809523809523808,0.28125,-0.04315476190476192,0.0,0.0,0.0
V-final-no-rho,mistralai/Mistral-7B-Instruct-v0.3,42,32,10,0.0,0.0,0.0,0.14285714285714285,0.1875,-0.04464285714285715,0.0,0.0,0.0
V-final-no-tau,Qwen/Qwen2.5-3B-Instruct,32,32,0,0.0,0.0,0.0,0.53125,0.53125,0.0,0.0,0.0,0.0
V-final-no-tau,Qwen/Qwen2.5-7B-Instruct,32,32,0,0.0,0.0,0.0,0.59375,0.59375,0.0,0.0,0.0,0.0
V-final-no-tau,meta-llama/Meta-Llama-3.1-8B-Instruct,32,32,0,0.0,0.0,0.0,0.28125,0.28125,0.0,0.0,0.0,0.0
V-final-no-tau,mistralai/Mistral-7B-Instruct-v0.3,32,32,0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0
V-final-no-mu,Qwen/Qwen2.5-3B-Instruct,59,32,27,0.0,0.0,0.0,0.5423728813559322,0.53125,0.011122881355932202,0.0,0.0,0.0
V-final-no-mu,Qwen/Qwen2.5-7B-Instruct,59,32,27,0.0,0.0,0.0,0.5084745762711864,0.59375,-0.08527542372881358,0.0,0.0,0.0
V-final-no-mu,meta-llama/Meta-Llama-3.1-8B-Instruct,59,32,27,0.0,0.0,0.0,0.1864406779661017,0.28125,-0.0948093220338983,0.0,0.0,0.0
V-final-no-mu,mistralai/Mistral-7B-Instruct-v0.3,59,32,27,0.0,0.0,0.0,0.13559322033898305,0.1875,-0.05190677966101695,0.0,0.0,0.0
V-final-no-kappa,Qwen/Qwen2.5-3B-Instruct,32,32,0,0.0,0.0,0.0,0.53125,0.53125,0.0,0.0,0.0,0.0
V-final-no-kappa,Qwen/Qwen2.5-7B-Instruct,32,32,0,0.0,0.0,0.0,0.59375,0.59375,0.0,0.0,0.0,0.0
V-final-no-kappa,meta-llama/Meta-Llama-3.1-8B-Instruct,32,32,0,0.0,0.0,0.0,0.28125,0.28125,0.0,0.0,0.0,0.0
V-final-no-kappa,mistralai/Mistral-7B-Instruct-v0.3,32,32,0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0
V-final-no-generic,Qwen/Qwen2.5-3B-Instruct,38,32,6,0.0,0.0,0.0,0.5526315789473685,0.53125,0.021381578947368474,0.0,0.0,0.0
V-final-no-generic,Qwen/Qwen2.5-7B-Instruct,38,32,6,0.0,0.0,0.0,0.6052631578947368,0.59375,0.011513157894736836,0.0,0.0,0.0
V-final-no-generic,meta-llama/Meta-Llama-3.1-8B-Instruct,38,32,6,0.0,0.0,0.0,0.2894736842105263,0.28125,0.008223684210526327,0.0,0.0,0.0
V-final-no-generic,mistralai/Mistral-7B-Instruct-v0.3,38,32,6,0.0,0.0,0.0,0.23684210526315788,0.1875,0.04934210526315788,0.0,0.0,0.0
