variant,n_accepted_cases,backbone,n,rows,parse_ok,commit_rate,abstain_rate,leak_rate
V-final,32,Qwen/Qwen2.5-3B-Instruct,32,32,0.5625,0.53125,0.0,0.0
V-final,32,Qwen/Qwen2.5-7B-Instruct,32,32,0.78125,0.59375,0.0,0.0
V-final,32,meta-llama/Meta-Llama-3.1-8B-Instruct,32,32,0.34375,0.28125,0.0,0.0
V-final,32,mistralai/Mistral-7B-Instruct-v0.3,32,32,0.1875,0.1875,0.0,0.0
V-final-no-rho,42,Qwen/Qwen2.5-3B-Instruct,42,42,0.5476190476190477,0.5238095238095238,0.0,0.0
V-final-no-rho,42,Qwen/Qwen2.5-7B-Instruct,42,42,0.8333333333333334,0.5476190476190477,0.0,0.0
V-final-no-rho,42,meta-llama/Meta-Llama-3.1-8B-Instruct,42,42,0.3333333333333333,0.23809523809523808,0.0,0.0
V-final-no-rho,42,mistralai/Mistral-7B-Instruct-v0.3,42,42,0.14285714285714285,0.14285714285714285,0.0,0.0
V-final-no-tau,32,Qwen/Qwen2.5-3B-Instruct,32,32,0.5625,0.53125,0.0,0.0
V-final-no-tau,32,Qwen/Qwen2.5-7B-Instruct,32,32,0.78125,0.59375,0.0,0.0
V-final-no-tau,32,meta-llama/Meta-Llama-3.1-8B-Instruct,32,32,0.34375,0.28125,0.0,0.0
V-final-no-tau,32,mistralai/Mistral-7B-Instruct-v0.3,32,32,0.1875,0.1875,0.0,0.0
V-final-no-mu,59,Qwen/Qwen2.5-3B-Instruct,59,59,0.6101694915254238,0.5423728813559322,0.0,0.0
V-final-no-mu,59,Qwen/Qwen2.5-7B-Instruct,59,59,0.8813559322033898,0.5084745762711864,0.0,0.0
V-final-no-mu,59,meta-llama/Meta-Llama-3.1-8B-Instruct,59,59,0.3050847457627119,0.1864406779661017,0.0,0.0
V-final-no-mu,59,mistralai/Mistral-7B-Instruct-v0.3,59,59,0.13559322033898305,0.13559322033898305,0.0,0.0
V-final-no-kappa,32,Qwen/Qwen2.5-3B-Instruct,32,32,0.5625,0.53125,0.0,0.0
V-final-no-kappa,32,Qwen/Qwen2.5-7B-Instruct,32,32,0.78125,0.59375,0.0,0.0
V-final-no-kappa,32,meta-llama/Meta-Llama-3.1-8B-Instruct,32,32,0.34375,0.28125,0.0,0.0
V-final-no-kappa,32,mistralai/Mistral-7B-Instruct-v0.3,32,32,0.1875,0.1875,0.0,0.0
V-final-no-generic,38,Qwen/Qwen2.5-3B-Instruct,38,38,0.631578947368421,0.5526315789473685,0.0,0.0
V-final-no-generic,38,Qwen/Qwen2.5-7B-Instruct,38,38,0.8157894736842105,0.6052631578947368,0.0,0.0
V-final-no-generic,38,meta-llama/Meta-Llama-3.1-8B-Instruct,38,38,0.39473684210526316,0.2894736842105263,0.0,0.0
V-final-no-generic,38,mistralai/Mistral-7B-Instruct-v0.3,38,38,0.23684210526315788,0.23684210526315788,0.0,0.0
