variant,dim,n_units,alpha_interval
V1,factuality,15,0.2885010266940452
V1,groundedness,15,0.5878552971576227
V1,abstain_appropriateness,15,0.425670775924583
V1,safety,15,-0.04296296296296287
V1,patient_utility,15,0.5268050151318655
V2,factuality,15,-0.4615384615384617
V2,groundedness,15,-0.4637843907916901
V2,abstain_appropriateness,15,-0.46666666666666656
V2,safety,15,-0.20070422535211252
V2,patient_utility,15,-0.45186335403727096
V-final,factuality,15,-0.17908496732026147
V-final,groundedness,15,-0.32460732984293195
V-final,abstain_appropriateness,15,-0.28720112517580865
V-final,safety,15,-0.1742543171114599
V-final,patient_utility,15,-0.17105263157893802
ALL,factuality,45,-0.10844310756145625
ALL,groundedness,45,-0.20337953294095312
ALL,abstain_appropriateness,45,-0.16373839267820145
ALL,safety,45,0.10085854797032578
ALL,patient_utility,45,-0.08277251293321108
