method,metric,mean,ci_lo_95,ci_hi_95,n_topics
BM25 (full text),ndcg@10,0.24534866775913092,0.19727699614118868,0.30182339718771256,75
BM25 (full text),ndcg@20,0.25870553377835803,0.20957572771587749,0.3116684283785612,75
BM25 (full text),recall@10,0.12895480279520555,0.09887397207759005,0.1601020192865755,75
BM25 (full text),recall@20,0.20217241889612078,0.16638376112261183,0.24166989055721094,75
BM25 (full text),recall@100,0.41759407884650507,0.36752112939374987,0.4661032145423161,75
Dense MiniLM (full text),ndcg@10,0.32900629845878765,0.2764984946477171,0.3880235166611214,75
Dense MiniLM (full text),ndcg@20,0.31341460006319916,0.2617432901038292,0.365121530728465,75
Dense MiniLM (full text),recall@10,0.08610158330016786,0.06183864387063234,0.11258422936195982,75
Dense MiniLM (full text),recall@20,0.13895985036395608,0.10732503316499693,0.17437342289794364,75
Dense MiniLM (full text),recall@100,0.3632344727030061,0.3189670270216626,0.4091256746044221,75
Dense BGE-base (full text),ndcg@10,0.3264037947497678,0.2821939007781052,0.3762625966969875,75
Dense BGE-base (full text),ndcg@20,0.3067608777017401,0.26661897668768153,0.3472762567176249,75
Dense BGE-base (full text),recall@10,0.08257484414415041,0.061459677884418716,0.10989112521939193,75
Dense BGE-base (full text),recall@20,0.13365727897707091,0.10507548405265592,0.16803860270103033,75
Dense BGE-base (full text),recall@100,0.3686941728802206,0.3241004394912618,0.4167207707606686,75
BM25 -> Cross-encoder,ndcg@10,0.3165067286235668,0.2598660450269106,0.37590726035112276,75
BM25 -> Cross-encoder,ndcg@20,0.36051164621998893,0.30710756057996236,0.4146599629793895,75
BM25 -> Cross-encoder,recall@10,0.22782407832277027,0.1805115104551557,0.2831587681710047,75
BM25 -> Cross-encoder,recall@20,0.357129993319307,0.3040620840903523,0.4130997843542252,75
BM25 -> Cross-encoder,recall@100,0.96,0.9066666666666666,1.0,75
