rho,tau,mu,kap,n,n_accept,accept_rate,abstain_rate,tp_any,fp_any,fn_any,tn_any,precision_any,recall_any,f1_any,tp_strict,fp_strict,fn_strict,precision_strict,recall_strict,f1_strict,n_generic,generic_accepted,generic_abstain_rate
1.0,0.15,-7.0,1,150,107,0.7133333333333334,0.2866666666666666,16,65,5,14,0.19753086419753085,0.7619047619047619,0.31372549019607837,5,76,4,0.06172839506172839,0.5555555555555556,0.1111111111111111,22,0,1.0
1.0,0.15,-7.0,2,150,122,0.8133333333333334,0.18666666666666665,19,75,2,4,0.20212765957446807,0.9047619047619048,0.3304347826086957,7,87,2,0.07446808510638298,0.7777777777777778,0.13592233009708737,22,0,1.0
1.0,0.15,-7.0,3,150,127,0.8466666666666667,0.15333333333333332,21,78,0,1,0.21212121212121213,1.0,0.35,9,90,0,0.09090909090909091,1.0,0.16666666666666669,22,0,1.0
1.0,0.15,-7.0,5,150,127,0.8466666666666667,0.15333333333333332,21,78,0,1,0.21212121212121213,1.0,0.35,9,90,0,0.09090909090909091,1.0,0.16666666666666669,22,0,1.0
1.0,0.15,-7.0,999,150,127,0.8466666666666667,0.15333333333333332,21,78,0,1,0.21212121212121213,1.0,0.35,9,90,0,0.09090909090909091,1.0,0.16666666666666669,22,0,1.0
1.0,0.15,-6.0,1,150,95,0.6333333333333333,0.3666666666666667,14,55,7,24,0.2028985507246377,0.6666666666666666,0.3111111111111111,4,65,5,0.057971014492753624,0.4444444444444444,0.10256410256410256,22,0,1.0
1.0,0.15,-6.0,2,150,108,0.72,0.28,16,64,5,15,0.2,0.7619047619047619,0.3168316831683169,5,75,4,0.0625,0.5555555555555556,0.11235955056179775,22,0,1.0
1.0,0.15,-6.0,3,150,112,0.7466666666666667,0.2533333333333333,18,66,3,13,0.21428571428571427,0.8571428571428571,0.34285714285714286,7,77,2,0.08333333333333333,0.7777777777777778,0.15053763440860213,22,0,1.0
1.0,0.15,-6.0,5,150,112,0.7466666666666667,0.2533333333333333,18,66,3,13,0.21428571428571427,0.8571428571428571,0.34285714285714286,7,77,2,0.08333333333333333,0.7777777777777778,0.15053763440860213,22,0,1.0
1.0,0.15,-6.0,999,150,112,0.7466666666666667,0.2533333333333333,18,66,3,13,0.21428571428571427,0.8571428571428571,0.34285714285714286,7,77,2,0.08333333333333333,0.7777777777777778,0.15053763440860213,22,0,1.0
1.0,0.15,-5.0,1,150,77,0.5133333333333333,0.4866666666666667,13,41,8,38,0.24074074074074073,0.6190476190476191,0.3466666666666667,4,50,5,0.07407407407407407,0.4444444444444444,0.12698412698412698,22,0,1.0
1.0,0.15,-5.0,2,150,87,0.58,0.42000000000000004,15,47,6,32,0.24193548387096775,0.7142857142857143,0.3614457831325301,5,57,4,0.08064516129032258,0.5555555555555556,0.1408450704225352,22,0,1.0
1.0,0.15,-5.0,3,150,91,0.6066666666666667,0.3933333333333333,17,49,4,30,0.25757575757575757,0.8095238095238095,0.39080459770114945,7,59,2,0.10606060606060606,0.7777777777777778,0.18666666666666665,22,0,1.0
1.0,0.15,-5.0,5,150,91,0.6066666666666667,0.3933333333333333,17,49,4,30,0.25757575757575757,0.8095238095238095,0.39080459770114945,7,59,2,0.10606060606060606,0.7777777777777778,0.18666666666666665,22,0,1.0
1.0,0.15,-5.0,999,150,91,0.6066666666666667,0.3933333333333333,17,49,4,30,0.25757575757575757,0.8095238095238095,0.39080459770114945,7,59,2,0.10606060606060606,0.7777777777777778,0.18666666666666665,22,0,1.0
1.0,0.15,-4.5,1,150,54,0.36,0.64,11,26,10,53,0.2972972972972973,0.5238095238095238,0.37931034482758624,2,35,7,0.05405405405405406,0.2222222222222222,0.08695652173913043,22,0,1.0
1.0,0.15,-4.5,2,150,64,0.4266666666666667,0.5733333333333333,13,32,8,47,0.28888888888888886,0.6190476190476191,0.3939393939393939,3,42,6,0.06666666666666667,0.3333333333333333,0.1111111111111111,22,0,1.0
